@relation data
@attribute V1 {'1','2'}
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 {'1','2','3'}
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 {'1','2'}
@attribute V9 {'1','2'}
@attribute V10 numeric
@attribute V11 {'1','2'}
@attribute V12 {'1','2','3'}
@attribute V13 numeric
@attribute V14 numeric
@attribute Class {'1','2'}
@data
'2',-0.314742172439157,-0.0134618640126808,'2',-0.915618062438543,-0.347712711743813,0.815356343484212,'1','1',-0.493528602678215,'2','2',-0.488004456732962,0.0373532937368687,'1'
'1',-0.276789304637251,-0.384579218657201,'2',0.170374998296471,-0.347712711743813,-0.20777188510654,'1','1',-0.493528602678215,'1','2',-0.139489974953686,-0.195271683820164,'1'
'1',0.167709536907106,-0.329840223415515,'1',-0.915618062438543,-0.347712711743813,-0.236592398587969,'1','1',-0.493528602678215,'2','2',0.557538988604866,-0.195271683820164,'1'
'1',-0.341116199216753,-0.34938986457326,'1',-0.644119797254789,-0.849641103173166,-0.326656503217437,'2','2',1.76847749293027,'2','2',-1.06886192636509,-0.195271683820164,'2'
'2',-0.437606541086006,-0.120659063027647,'2',-0.372621532071036,-0.347712711743813,-0.185435987158432,'2','2',2.38538824627804,'1','2',-0.720347444585812,-0.164945985425765,'2'
'1',-0.716785263561043,-0.196251008837594,'2',0.170374998296471,1.6600008539736,-0.315848810661901,'2','2',-0.0822547671130358,'1','2',-0.488004456732962,-0.195271683820164,'2'
'2',-0.614505501179635,-0.365681232204714,'2',-1.1871163276223,-0.347712711743813,-0.236592398587969,'1','1',-0.493528602678215,'1','2',-0.720347444585812,-0.176078203823709,'1'
'1',2.03897890022481,-0.241541010853035,'2',0.984869793847733,1.6600008539736,-0.107620600758572,'2','2',0.740292904017322,'1','2',-0.819093214423274,-0.0877881958400167,'2'
'2',0.0551374713929781,-0.386534182772975,'1',-1.45861459280605,1.6600008539736,-0.32449496470633,'1','1',-0.493528602678215,'1','2',-0.0465527798125455,-0.0922026962392013,'1'
'1',1.85114436805267,-0.156174244464217,'2',-0.915618062438543,1.6600008539736,0.159689661781688,'2','2',0.123382150669554,'2','2',-0.488004456732962,-0.185674943821936,'1'
'2',-1.51958490791323,-0.329840223415515,'2',1.79936458939899,1.6600008539736,-0.294233425550829,'2','2',0.329019068452143,'2','2',0.400707471804191,-0.0307835602505459,'2'
'2',0.929339968728407,-0.385230873362459,'2',0.984869793847733,1.6600008539736,-0.323053939032258,'2','2',0.740292904017322,'2','2',1.66116818090591,-0.195271683820164,'2'
'2',-0.405443093796255,-0.346131591046969,'1',0.170374998296471,1.6600008539736,0.664048647706706,'2','2',0.123382150669554,'2','2',-0.255661468880111,-0.154965375827609,'1'
'2',0.511215153961645,-0.385230873362459,'2',1.79936458939899,1.6600008539736,-0.272618040439756,'2','2',0.740292904017322,'2','2',-1.06886192636509,-0.00333688385561553,'2'
'2',2.03318947971266,-0.298560797563124,'2',0.170374998296471,-0.347712711743813,1.41338199822388,'1','1',-0.493528602678215,'2','2',0.789881976457716,-0.195271683820164,'1'
'2',1.35775708662789,-0.190060289137641,'2',-0.915618062438543,-0.347712711743813,-0.323774451869294,'1','1',-0.493528602678215,'1','2',-1.06886192636509,0.321032928084471,'2'
'2',0.167709536907106,-0.372197779257296,'2',0.441873263480225,-0.347712711743813,-0.272618040439756,'2','2',-0.0822547671130358,'2','2',0.847967723420929,-0.195271683820164,'2'
'1',-0.518015159310383,-0.383927563951942,'2',-0.372621532071036,-0.347712711743813,-0.272618040439756,'2','2',-0.0822547671130358,'1','2',-0.557707353088817,-0.0818382170411157,'2'
'2',-1.72221462583866,-0.346131591046969,'1',-0.915618062438543,-0.347712711743813,-0.236592398587969,'1','1',-0.493528602678215,'1','2',-0.255661468880111,-0.194503944620306,'1'
'1',-0.292871028282127,1.45895194251812,'2',0.984869793847733,-0.347712711743813,1.53586918051995,'2','2',0.945929821799912,'1','2',-0.319555790539645,0.42985995966437,'2'
'1',0.0770086155500087,-0.196251008837594,'2',-0.372621532071036,-0.347712711743813,-0.323774451869294,'1','1',-0.493528602678215,'1','2',0.44136749467844,-0.00256914465575734,'1'
'1',-0.501933435665507,-0.196251008837594,'1',-0.372621532071036,-0.347712711743813,0.0948435064484712,'2','1',-0.493528602678215,'2','2',-0.139489974953686,-0.195271683820164,'1'
'2',0.913258245083531,0.0481195056342149,'2',-1.45861459280605,-0.347712711743813,-0.20777188510654,'1','1',-0.493528602678215,'1','2',-0.0930213773831156,-0.195271683820164,'1'
'2',0.939632271861127,-0.329840223415515,'2',-0.915618062438543,-0.347712711743813,-0.311525733639686,'2','1',-0.493528602678215,'1','2',-0.139489974953686,-0.195271683820164,'1'
'2',-1.60964256032453,2.73619516482411,'2',-0.372621532071036,-0.347712711743813,-0.269735989091613,'1','1',-0.493528602678215,'1','2',-0.604175950659387,-0.128094503832572,'1'
'2',0.371625792724127,-0.381972599836168,'2',1.52786632421524,1.6600008539736,-0.287028297180471,'2','2',0.123382150669554,'2','2',-1.06886192636509,-0.195271683820164,'2'
'2',-1.59034449195068,-0.346131591046969,'1',-0.915618062438543,-0.347712711743813,-0.236592398587969,'1','1',-0.493528602678215,'1','2',0.0928530128991648,-0.181836247822645,'1'
'2',0.398643088447517,-0.287808494926364,'1',0.170374998296471,1.6600008539736,-0.179671884462146,'2','2',-0.287891684895625,'2','2',-0.0233184810272604,3.26473695514075,'2'
'1',0.237825851998763,-0.382950081894055,'2',0.170374998296471,-0.347712711743813,-0.325215477543365,'2','2',-0.287891684895625,'1','2',0.20902450682559,-0.191624922620837,'2'
'2',-0.250415277859655,-0.378714326309877,'2',0.170374998296471,-0.347712711743813,0.455099924966342,'2','2',1.76847749293027,'2','2',-0.720347444585812,0.22391391930241,'2'
'2',-1.71771174321809,-0.362422958678423,'2',0.170374998296471,1.6600008539736,-0.0204385474772473,'2','2',0.123382150669554,'2','2',0.743413378887146,-0.166481463825482,'2'
'1',-0.42152481744113,-0.352648138099551,'1',1.79936458939899,1.6600008539736,-0.326656503217437,'1','1',-0.493528602678215,'2','2',-0.174341423131614,-0.189129770221298,'1'
'2',1.63114638859077,0.061152599739378,'1',0.170374998296471,1.6600008539736,0.354948640618374,'2','1',-0.493528602678215,'2','2',0.0928530128991648,-0.176078203823709,'1'
